query_id,first_relevant_rank
EP1859786,33.0
EP1582293,220.0
EP1496293,7.0
EP1891917,3.0
EP1247644,5.0
EP1500684,2.0
EP1471692,
EP1350956,33.0
EP1699194,
EP1288800,121.0
EP1333529,2.0
EP1674882,36.0
EP1496260,6.0
EP1774928,15.0
EP1405662,17.0
EP1253478,10.0
EP1726636,381.0
EP1825885,226.0
EP1225199,4.0
EP1245629,
EP1348341,1.0
EP1770396,274.0
EP1669770,50.0
EP1400878,
EP1298815,8.0
EP1329779,576.0
EP1473150,4.0
EP1918308,35.0
EP1783249,6.0
EP1274213,6.0
EP1384568,1.0
EP1679907,28.0
EP1329474,1.0
EP1627641,7.0
EP1672174,3.0
EP1351200,
EP1437696,11.0
EP1559514,4.0
EP1369301,12.0
EP1541049,4.0
EP1548836,44.0
EP1288054,18.0
EP1696595,
EP1326400,32.0
EP1524451,69.0
EP1487127,1.0
EP1445827,47.0
EP1342997,2.0
EP1529437,2.0
EP1661544,19.0
EP1371371,7.0
EP1429422,218.0
EP1391946,19.0
EP1628488,54.0
EP1342843,76.0
EP1342999,15.0
EP1420227,3.0
EP1345234,161.0
EP1571557,471.0
EP1759864,33.0
EP1528663,72.0
EP1302562,11.0
EP1623713,
EP1271793,298.0
EP1628117,26.0
EP1424777,101.0
EP1588888,1.0
EP1406240,23.0
EP1477559,
EP1493938,3.0
EP1703279,3.0
EP1914529,
EP1371778,184.0
EP1728596,4.0
EP1347603,1.0
EP1859868,59.0
EP1314700,7.0
EP1452809,113.0
EP1428466,549.0
EP1400876,3.0
EP1331342,1.0
EP1254651,101.0
EP1832313,
EP1273317,
EP1502874,21.0
EP1281399,2.0
EP1708443,7.0
EP1493406,61.0
EP1820791,1.0
EP1281907,152.0
EP1653131,22.0
EP1267441,4.0
EP1510785,
EP1313093,85.0
EP1450588,
EP1275516,25.0
EP1420315,170.0
EP1229044,79.0
EP1489732,2.0
EP1541105,14.0
EP1273974,619.0
EP1795332,16.0
EP1803363,13.0
EP1696232,1.0
EP1264770,85.0
EP1442790,44.0
EP1835452,20.0
EP1716814,
EP1447172,281.0
EP1282173,336.0
EP1852216,2.0
EP1693597,182.0
EP1243236,4.0
EP1321292,1.0
EP1271302,40.0
EP1840969,37.0
EP1507307,17.0
EP1801564,48.0
EP1506754,
EP1400765,617.0
EP1416546,238.0
EP1342887,58.0
EP1541611,
EP1671843,
EP1251058,26.0
EP1288965,96.0
EP1698331,248.0
EP1288875,2.0
EP1514880,
EP1385006,
EP1225408,1.0
EP1460873,
EP1484181,427.0
EP1361314,16.0
EP1580912,3.0
EP1686824,21.0
EP1385303,20.0
EP1415838,17.0
EP1452567,43.0
EP1605681,107.0
EP1473782,19.0
EP1747870,
EP1561827,4.0
EP1548974,633.0
EP1306139,
EP1630530,1.0
EP1405596,2.0
EP1477190,240.0
EP1466923,6.0
EP1246320,5.0
EP1524429,3.0
EP1349149,297.0
EP1234967,10.0
EP1775371,
EP1662606,5.0
EP1408303,4.0
EP1513358,
EP1698368,
EP1598218,3.0
EP1494428,
EP1439605,
EP1852066,62.0
EP1267127,23.0
EP1406213,
EP1227598,662.0
EP1282154,20.0
EP1818110,408.0
EP1502680,9.0
EP1274246,94.0
EP1383266,31.0
EP1449664,
EP1434110,22.0
EP1703529,1.0
EP1710077,1.0
EP1914315,4.0
EP1286165,28.0
EP1352624,24.0
EP1288895,12.0
EP1362560,14.0
EP1407914,61.0
EP1511364,23.0
EP1733787,93.0
EP1271999,56.0
EP1346737,65.0
EP1345437,
EP1531562,
EP1591553,38.0
EP1803545,2.0
EP1391513,
EP1672034,1.0
EP1280357,
EP1411553,
EP1274224,17.0
EP1376059,75.0
EP1336903,41.0
EP1574212,4.0
EP1693778,136.0
EP1413262,21.0
EP1365142,
EP1574675,165.0
EP1251573,
EP1271044,1.0
EP1398340,10.0
EP1411601,6.0
EP1557330,12.0
EP1327963,
EP1577638,49.0
EP1229164,226.0
EP1787539,7.0
EP1764885,
EP1258680,
EP1387561,40.0
EP1550537,66.0
EP1566364,1.0
EP1548362,
EP1325790,25.0
EP1887202,54.0
